Manufacturer,InsertType,Purification,Batch,Replicate,File,n_two_errors,n_two_errors_together,n_three_errors,n_three_errors_together,n_four_errors,n_four_errors_together
bs,fwd,dHPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_1,99,27,37,22,21,8
bs,fwd,dHPLC,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_2,84,33,44,16,17,11
bs,fwd,dHPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_3,77,25,31,17,14,8
eurofins,fwd,extremer,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_1,5,2,3,3,3,3
eurofins,fwd,extremer,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_2,8,5,5,5,5,5
eurofins,fwd,extremer,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_3,5,4,14,14,5,5
eurofins,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_PAGE_b1_3,47,34,10,9,0,0
idt,fwd,desalted,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_1,95,68,37,35,23,22
idt,fwd,desalted,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_2,67,51,16,16,17,15
idt,fwd,desalted,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_3,65,47,25,22,23,18
idt,fwd,desalted,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_1,141,49,55,16,9,0
idt,fwd,desalted,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_2,103,28,47,14,28,8
idt,fwd,desalted,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_3,119,32,65,15,22,9
idt,fwd,desalted,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_1,22,16,10,9,6,3
idt,fwd,desalted,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_2,6,3,12,11,7,3
idt,fwd,desalted,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_3,19,7,3,0,3,3
idt,fwd,gblocks,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_1,2,2,0,0,1,1
idt,fwd,gblocks,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_2,1,1,0,0,1,1
idt,fwd,gblocks,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_3,4,4,2,1,1,1
idt,fwd,HPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_1,15,7,20,14,1,1
idt,fwd,HPLC,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_2,17,9,6,3,5,4
idt,fwd,HPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_3,24,16,6,3,6,6
idt,fwd,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_1,148,47,34,24,5,4
idt,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_2,162,51,33,19,12,12
idt,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_3,124,32,27,12,6,6
idt,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_1,20,13,2,2,3,1
idt,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_2,20,7,4,4,1,1
idt,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_3,9,7,5,5,2,2
idt,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_1,23,10,4,4,0,0
idt,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_2,19,16,7,4,10,8
idt,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_3,24,13,5,3,0,0
idt,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_1,26,10,3,3,0,0
idt,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_2,12,4,0,0,2,0
idt,rev,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_3,22,9,5,3,2,1
idt,rev,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_1,7,7,12,12,0,0
idt,rev,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_2,8,2,0,0,3,3
idt,rev,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_3,19,10,4,4,1,1
sigma,fwd,HPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_1,75,61,15,8,14,11
sigma,fwd,HPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_3,51,35,28,16,13,8
sigma,fwd,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_1,133,69,46,22,17,7
sigma,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_2,118,81,33,16,16,6
sigma,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_3,130,86,51,25,14,5
sigma,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_1,9,8,3,1,2,2
sigma,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_2,18,12,5,5,2,2
sigma,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_3,13,5,6,0,2,2
sigma,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_1,33,23,6,6,1,0
sigma,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_2,21,15,13,8,10,3
sigma,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_3,14,12,7,4,7,6
sigma,rev,desalted,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_2,18,10,13,13,2,2
sigma,rev,desalted,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_3,19,15,2,2,4,3
sigma,rev,desalted,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_1,87,71,30,24,17,13
sigma,rev,desalted,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_2,69,53,36,30,26,24
sigma,rev,desalted,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_3,69,49,34,29,27,26
sigma,rev,desalted,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_1,46,30,31,27,12,7
sigma,rev,desalted,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_2,47,31,19,12,20,16
sigma,rev,desalted,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_3,32,19,17,15,13,10
sigma,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_1,19,11,7,3,0,0
sigma,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_2,31,19,6,3,4,3
sigma,rev,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_3,14,8,6,0,3,2
sigma,rev,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_1,49,33,10,9,5,3
sigma,rev,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_2,50,34,29,19,12,11
sigma,rev,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_3,49,36,13,11,11,11
sigma,rev,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_1,112,95,55,48,43,32
sigma,rev,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_2,113,89,32,28,26,21
sigma,rev,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_3,103,80,40,28,24,18
